SearchQuery,October,November,December,January,February,March,April,May,June,July,August,September,Keyword,FieldSpecific,MeSH,Branches,PubDate,Explode,AND,OR,NOT,Set
PMML001,2463875,2473797,2481432,2489423,2499184,2507109,2519526,2527791,2538251,2548273,2557974,2568696,1,0,0,0,0,0,0,0,0,set1
PQML001,2475724,2485490,2493262,2499152,2500504,2517011,2530187,2534720,2548651,2557152,2566638,2575741,1,0,0,0,0,0,0,0,0,set1
EHML001,2474206,2484396,2488385,2498651,2508806,2511573,2533530,2541406,2549678,2557602,2566615,2578130,1,0,0,0,0,0,0,0,0,set1
WSML001,2471152,2480301,2489705,2497189,2507894,2515319,2527571,2535780,2545094,2556789,2567024,2578011,1,0,0,0,0,0,0,0,0,set1
OML001,2460695,2471800,2476629,2485581,2497047,2504746,2517076,2523501,2535182,2544153,2555490,2563975,1,0,0,0,0,0,0,0,0,set1
PMML002,389955,391392,392547,393917,395436,396678,398634,400102,401923,403669,405183,406960,0,0,1,1,0,0,0,0,0,set2
PQML002,389674,391085,392243,393192,393367,395934,398030,398851,401215,402657,404187,405607,0,0,1,1,0,0,0,0,0,set2
EHML002,389410,390856,391446,393059,394665,395105,398502,399875,401332,402666,404110,405960,0,0,1,1,0,0,0,0,0,set2
WSML002,389120,390415,391829,393062,394762,395865,397766,399187,400814,402841,404479,406222,0,0,1,1,0,0,0,0,0,set2
OML002,389537,391082,391848,393294,395058,396302,398245,399367,401385,402987,404831,406088,0,0,1,1,0,0,0,0,0,set2
PMML003,2251033,2251062,2251103,2251109,2251128,2251126,2251180,2251196,2251209,2251211,2251213,2251226,1,0,0,0,1,0,1,0,0,set3
PQML003,2238698,2238716,2238755,2238759,2238652,2238661,2238695,2238698,2238828,2238830,2238832,2238844,1,0,0,0,1,0,1,0,0,set3
EHML003,2238997,2239016,2239018,2239061,2239080,2239082,2239078,2239097,2239102,2239104,2239107,2239118,1,0,0,0,1,0,1,0,0,set3
WSML003,2238118,2238148,2238188,2238195,2238213,2238226,2238255,2238282,2238285,2238290,2238294,2238306,1,0,0,0,1,0,1,0,0,set3
OML003,2232480,2232502,2232502,2232595,2232526,2232524,2232551,2232557,2232557,2232557,2232560,2232253,1,0,0,0,1,0,1,0,0,set3
PMML004,349598,349601,349602,349602,349604,349604,349608,349612,349615,349615,349615,349618,0,0,1,1,1,0,1,0,0,set4
PQML004,347192,347192,347193,347193,347185,347184,347190,347190,347199,347199,347199,347201,0,0,1,1,1,0,1,0,0,set4
EHML004,347205,347205,347205,347206,347207,347207,347211,347213,347212,347212,347212,347213,0,0,1,1,1,0,1,0,0,set4
WSML004,347183,347183,347184,347184,347187,347187,347190,347193,347193,347192,347192,347194,0,0,1,1,1,0,1,0,0,set4
OML004,347195,347195,347195,347211,347187,347187,347190,347191,347191,347191,347192,347141,0,0,1,1,1,0,1,0,0,set4
PMML005,15004,15005,15005,15005,15006,15006,15006,15006,15005,15005,15005,15005,1,0,1,1,1,0,2,0,0,set5
PQML005,15011,15011,15013,15005,15007,15013,15014,15014,15014,15014,15014,15014,1,0,1,1,1,0,2,0,0,set5
EHML005,15088,15088,15090,15082,15082,15079,15089,15091,15090,15090,15090,15090,1,0,1,1,1,0,2,0,0,set5
WSML005,14711,14711,14711,14711,14712,14712,14712,14712,14712,14712,14712,14712,1,0,1,1,1,0,2,0,0,set5
OML005,14830,14830,14830,14831,14830,14830,14830,14830,14830,14830,14830,14828,1,0,1,1,1,0,2,0,0,set5
PMML006,41444,41444,41444,41447,41452,41452,41454,41455,41455,41455,41455,41455,0,0,1,2,1,0,1,0,0,set6
