Date,Hits,Databases
2020-02-03,47,PubMedLegacyMostRecent
2020-02-04,47,PubMedLegacyMostRecent
2020-02-05,58,PubMedLegacyMostRecent
2020-02-10,121,PubMedLegacyMostRecent
2020-02-13,147,PubMedLegacyMostRecent
2020-02-18,180,PubMedLegacyMostRecent
2020-03-10,403,PubMedLegacyMostRecent
2020-03-17,519,PubMedLegacyMostRecent
2020-03-24,678,PubMedLegacyMostRecent
2020-02-03,27,PubMedLegacyBestMatch
2020-02-04,47,PubMedLegacyBestMatch
2020-02-05,48,PubMedLegacyBestMatch
2020-02-10,115,PubMedLegacyBestMatch
2020-02-13,147,PubMedLegacyBestMatch
2020-02-18,175,PubMedLegacyBestMatch
2020-03-10,393,PubMedLegacyBestMatch
2020-03-17,517,PubMedLegacyBestMatch
2020-03-24,655,PubMedLegacyBestMatch
2020-02-03,47,PubMedNew
2020-02-04,50,PubMedNew
2020-02-05,68,PubMedNew
2020-02-10,124,PubMedNew
2020-02-13,150,PubMedNew
2020-02-18,190,PubMedNew
2020-03-10,404,PubMedNew
2020-03-17,533,PubMedNew
2020-03-24,681,PubMedNew
2020-02-03,39,ProQuestPubmed
2020-02-04,48,ProQuestPubmed
2020-02-05,53,ProQuestPubmed
2020-02-10,95,ProQuestPubmed
2020-02-13,132,ProQuestPubmed
2020-02-18,189,ProQuestPubmed
2020-03-10,375,ProQuestPubmed
2020-03-17,459,ProQuestPubmed
2020-03-24,533,ProQuestPubmed
2020-02-03,30,EBSCOhostPubMed
2020-02-04,30,EBSCOhostPubMed
2020-02-05,49,EBSCOhostPubMed
2020-02-10,49,EBSCOhostPubMed
2020-02-13,116,EBSCOhostPubMed
2020-02-18,186,EBSCOhostPubMed
2020-03-10,383,EBSCOhostPubMed
2020-03-17,448,EBSCOhostPubMed
2020-03-24,554,EBSCOhostPubMed
2020-02-03,29,WebofSciencePubMed
2020-02-04,0,WebofSciencePubMed
2020-02-05,46,WebofSciencePubMed
2020-02-10,13,WebofSciencePubMed
2020-02-13,131,WebofSciencePubMed
2020-02-18,179,WebofSciencePubMed
2020-03-10,313,WebofSciencePubMed
2020-03-17,360,WebofSciencePubMed
2020-03-24,402,WebofSciencePubMed
2020-02-03,35,OvidPubMed
2020-02-04,50,OvidPubMed
2020-02-05,55,OvidPubMed
2020-02-10,99,OvidPubMed
2020-02-13,151,OvidPubMed
2020-02-18,185,OvidPubMed
2020-03-10,394,OvidPubMed
2020-03-17,499,OvidPubMed
2020-03-24,681,OvidPubMed
